duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,stage
40.0,common_core,5.441318982194026,0.16804078125417266,3.547105583569041,7.118880829994998,-3.29107352940252,5.616547926436079,35.77357654484484,3.719539867144075,11,nuisance_corrected_mag
40.0,full_log,4.0588457287035205,0.15612255367302783,3.5166140562949857,6.944617408187572,-2.236049981470289,5.8964764800436695,18.162648157573603,3.5166140562949857,11,nuisance_corrected_mag
40.0,full_log_excluding_training,4.375789525317515,0.15512751961774007,3.444076770079075,6.909673504021927,-2.2525857255363175,6.0688983873524025,19.335864747634727,3.44450817437571,11,nuisance_corrected_mag
40.0,training_window,3.310377233507378,0.1600479643242343,3.115640459863024,6.876767308509941,-2.1111402677166096,5.922259377044249,19.500848389870796,3.4150621525719442,11,nuisance_corrected_mag
40.0,common_core,6.429468681536337,0.15780694700526393,3.2944509594322033,6.98643741765452,2.6378658909019554,5.255277693238281,47.06030766605418,3.520676463346434,11,solved
40.0,full_log,7.484520062974614,0.15091858152690157,3.353213444855722,6.4941274956854755,0.8110863698811264,4.926754522708989,27.401227124025432,3.353213444855722,11,solved
40.0,full_log_excluding_training,7.644023210366678,0.15015692251767132,3.3173216729386867,6.461125670364507,0.49527255486520533,4.844183080799629,30.577539182320514,3.3183367557632666,11,solved
40.0,training_window,5.55715669464691,0.13847412013085328,2.882232811125553,5.954126396061424,2.837840066863485,4.99575118425564,25.66109809332905,3.1530305992852328,11,solved
120.0,common_core,nan,0.20868759715252633,4.344725155933658,6.9001656073353175,-5.867063156790679,8.405652048009841,nan,4.651124130665336,11,mag_model
120.0,full_log,nan,0.1875673040110512,4.12356852114531,7.452329983261661,-3.502853907728935,8.074798152994541,nan,4.12356852114531,11,mag_model
120.0,full_log_excluding_training,nan,0.18581065730815582,3.9374568728790758,7.084666377331504,-4.258431741125606,8.120756620133127,nan,4.482800014234866,11,mag_model
120.0,training_window,nan,0.19931323507033108,4.237411146001662,7.979878563410496,-3.977788227151459,8.003166651001461,nan,4.340964722961935,11,mag_model
120.0,common_core,6.4021998784434455,0.15786685215459823,3.265641994908363,6.364803112808661,1.8445338161747666,6.159730260575225,32.7127094691659,3.5518843927822847,11,fusion1
120.0,full_log,6.185245688758016,0.16436044226427868,3.6488440490083263,7.351443412439363,-0.32479103151789734,6.481228490146082,21.694645284582755,3.6488440490083263,11,fusion1
120.0,full_log_excluding_training,5.095443357875379,0.1683930906946177,3.572024038411536,6.804694376832591,-0.9881005292344026,6.302107953958101,16.96999424795151,3.839910462607958,11,fusion1
120.0,training_window,7.560048313672116,0.15389900595272943,3.4085834668672415,6.264735228163861,1.6440839857731957,6.151702235389876,25.068159231794496,3.4940367057184814,11,fusion1
120.0,common_core,8.700070725732685,0.168125743973537,3.090614120296516,6.4522911066505895,0.177850024867872,4.29929332696113,50.158330878830355,3.399529204030123,11,nuisance_delta_lifted
120.0,full_log,6.344952128964593,0.15108552215085433,3.2821514760200126,6.301810007298602,-0.6971293770401434,5.402251957678872,36.03445886798318,3.2821514760200126,11,nuisance_delta_lifted
120.0,full_log_excluding_training,6.321195780817426,0.15865911394839513,3.424467476141397,6.398739063380645,-0.5151807883404242,4.678175377933781,31.89935413466729,3.4246105813657715,11,nuisance_delta_lifted
120.0,training_window,7.075315532324591,0.15751649788814953,3.238908091255171,5.864419279435789,0.4867495808306104,4.865657858605271,41.13796471276893,3.3270367405213177,11,nuisance_delta_lifted
120.0,common_core,5.850324095609732,0.2083426340411506,3.593553354954654,6.702616366415874,-3.403700953536895,5.480060459294525,37.44676413196896,3.595045653482304,11,nuisance_corrected_mag
120.0,full_log,4.398187982516719,0.15673563205756094,3.5999081017129426,6.734897703351979,-2.140905952171895,5.962262396907179,23.041593863922195,3.5999081017129426,11,nuisance_corrected_mag
120.0,full_log_excluding_training,4.534392830634953,0.15646261660882047,3.6131056264623655,6.438878827450316,-2.663873818563631,5.860489806616374,23.794778817358793,3.6343262010225375,11,nuisance_corrected_mag
120.0,training_window,4.796683121050778,0.16341511941638534,3.6193480966986598,6.221069317002043,-2.0301471404909055,6.041368317810436,30.56715344455059,3.7115384990357585,11,nuisance_corrected_mag
120.0,common_core,7.322893989548078,0.16447235910633037,3.041540123705665,5.815697518554477,2.700583394244812,5.7327347341970265,44.20173368257061,3.3327617896549033,11,solved
120.0,full_log,8.04569901699082,0.14849044865685518,3.2764852620249822,6.00569026290442,0.37251162735783816,5.112686488599596,27.216369478703047,3.2764852620249822,11,solved
120.0,full_log_excluding_training,6.3812737256295575,0.1577637530593694,3.3875409796460114,6.2730996789309685,-0.5900288967986398,4.709010144854831,30.538572835541952,3.408519812741037,11,solved
120.0,training_window,8.488773902428656,0.14104425639679866,3.087937948187699,5.597709451206594,2.182966287756704,5.252317774521737,34.706346867668486,3.188600472517852,11,solved
