trainer,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,evaluation_logs,pair_type,train_log
oracle-power,0.2911640745252831,4.764879306595166,4.764879306595166,1,diagonal,log-0147-filtered-c01
oracle-power,0.3612565156234287,11.737860129374285,24.530411429908376,37,transfer,log-0147-filtered-c01
oracle-power,0.2280917222300858,3.9817913564605996,3.9817913564605996,1,diagonal,log-0147-filtered-c02
oracle-power,0.3371426590733239,11.836211291118007,24.201981921702817,37,transfer,log-0147-filtered-c02
oracle-power,0.25018497171925047,4.929928298616744,4.929928298616745,1,diagonal,log-0151-filtered-c01
oracle-power,0.3478981564635483,11.779417035886032,27.387501805841083,37,transfer,log-0151-filtered-c01
oracle-power,0.22748429849159452,4.164310450989038,4.164310450989038,1,diagonal,log-0152-filtered-c01
oracle-power,0.30709933009907614,10.551381244469708,26.130602676994574,37,transfer,log-0152-filtered-c01
oracle-power,0.2741631711267457,3.884357527502604,3.884357527502604,1,diagonal,log-0152-filtered-c02
oracle-power,0.3411971734028872,11.759391035349891,27.92236057015276,37,transfer,log-0152-filtered-c02
oracle-power,0.14497442844355773,3.866823701940916,3.866823701940916,1,diagonal,log-0155-filtered-c01
oracle-power,0.3281404048421944,10.02908225241706,26.0606660090654,37,transfer,log-0155-filtered-c01
oracle-binned-median,0.12515698405580675,2.5326944585687294,2.5326945911725645,1,diagonal,log-0046
oracle-binned-median,0.606522770262409,15.037954196274343,19.826006654896663,37,transfer,log-0046
oracle-binned-median,0.1338380573426511,2.976500071271705,2.9768220643610963,1,diagonal,log-0048
oracle-binned-median,0.6074026195497727,15.002254007037065,20.826536384126218,37,transfer,log-0048
oracle-binned-median,0.117248064839081,2.5722350759930643,2.5828004713768675,1,diagonal,log-0049
oracle-binned-median,0.620089575447264,15.270700807255375,21.015569248103574,37,transfer,log-0049
oracle-binned-median,0.15459029789547837,2.7093362400261785,2.711623701420622,1,diagonal,log-0054
oracle-binned-median,0.6111552828343705,15.235297596773918,19.057182009866395,37,transfer,log-0054
oracle-binned-median,0.13039301482209995,3.0208149718760393,3.021762548695439,1,diagonal,log-0055
oracle-binned-median,0.6010649825052045,14.972805332240627,19.35297739056462,37,transfer,log-0055
oracle-binned-median,0.1431624339892254,3.172867312762959,3.17312516011025,1,diagonal,log-0056
oracle-binned-median,0.615567464664937,15.195554138094172,20.07746777448651,37,transfer,log-0056
oracle-binned-median,0.13430387871663965,3.0973599115607606,3.097471469065157,1,diagonal,log-0058
oracle-binned-median,0.6009732955172081,14.92797719652411,20.56191150068399,37,transfer,log-0058
oracle-binned-median,0.10911361352856733,2.8405591945443636,2.8408985816434678,1,diagonal,log-0063
oracle-binned-median,0.5915617623744909,14.649176256263132,20.649781637361404,37,transfer,log-0063
oracle-binned-median,0.1135290857547227,2.428984089643212,2.4294822495155453,1,diagonal,log-0071_183
oracle-binned-median,0.6185163917419638,15.220105225140701,18.944675635206274,37,transfer,log-0071_183
oracle-binned-median,0.12360509082013349,2.576572330431701,2.5769494633063452,1,diagonal,log-0072_184
oracle-binned-median,0.6167342620411895,15.200180004556941,19.076205994720137,37,transfer,log-0072_184
oracle-binned-median,0.118032223289631,2.277280560449445,2.2773392499483807,1,diagonal,log-0073_185
oracle-binned-median,0.6214033810552623,15.295118975237935,19.173720561648647,37,transfer,log-0073_185
oracle-binned-median,0.23754163113734214,6.744761844697377,6.80349726502593,1,diagonal,log-0078-valid
oracle-binned-median,0.3827637950730419,7.670448517150172,24.83443907024119,37,transfer,log-0078-valid
oracle-binned-median,0.2478651852215802,6.35019149767969,6.434323571231451,1,diagonal,log-0079
oracle-binned-median,0.39671524783609236,7.813872465691458,25.391847175803008,37,transfer,log-0079
oracle-binned-median,0.24340067907633814,7.038790658858539,7.105254666520434,1,diagonal,log-0080-valid
oracle-binned-median,0.37694512477260156,7.431689716858367,24.464650399990667,37,transfer,log-0080-valid
oracle-binned-median,0.4019170332644161,8.409929646253444,8.411806438627744,1,diagonal,log-0081
oracle-binned-median,0.3474663212576865,7.689809966491259,26.358278604008362,37,transfer,log-0081
