trainer,train_setup,eval_setup,transfer_type,source_logs,target_logs,source_units,target_units,pairs,aligned_rmse_transfer_median,aligned_rmse_target_diagonal_median,aligned_rmse_delta_median,aligned_rmse_delta_ci_low,aligned_rmse_delta_ci_high,aligned_rmse_fraction_worse,aligned_nrmse_std_transfer_median,aligned_nrmse_std_target_diagonal_median,aligned_nrmse_std_delta_median,aligned_nrmse_std_delta_ci_low,aligned_nrmse_std_delta_ci_high,aligned_nrmse_std_fraction_worse,anchored_rmse_transfer_median,anchored_rmse_target_diagonal_median,anchored_rmse_delta_median,anchored_rmse_delta_ci_low,anchored_rmse_delta_ci_high,anchored_rmse_fraction_worse
oracle-power,tr11_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,47.71232589709932,2.7407985242924777,44.95889729813841,31.85762561750265,65.69553253059892,1.0,2.281261578186898,0.1429488414503888,2.129326602320819,1.526701112059141,3.2434148925412556,1.0,53.62630289112636,2.7407985242924777,50.25901228871041,36.301313103768734,67.59937958064523,1.0
oracle-power,tr11_pod_v2,tr11_pod_v2,same_setup,5,5,5,5,20,8.526300775628847,8.016598607941193,0.9341564019050548,0.0908052297352464,1.350980636328897,1.0,0.356140819747754,0.3024308030228548,0.033649075698852476,0.0033377579383000594,0.07043818954379438,1.0,9.11777019740256,8.016598607941193,1.2626678985606397,0.19164914055280136,2.826696969330388,1.0
oracle-power,tr11_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,9.007012426788657,5.47514853859346,3.531863888195197,1.0178848611120292,4.417407389707381,1.0,0.2696749094814883,0.1731235177224683,0.1102331819551349,0.0331237708192908,0.13016440165161788,1.0,22.584644523078815,5.47514853859346,17.109495984485356,12.133432576302807,21.833381635578753,1.0
oracle-power,tr11_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,11.36899182905304,3.884357527502604,7.5021681271121246,4.0786153303104085,23.167362825417996,1.0,0.6647032855946071,0.2280917222300858,0.4209058869026868,0.2480975740720507,1.1757018889936217,1.0,54.01309116034692,3.884357527502604,49.08316286173017,45.91114490913501,55.021307193118005,1.0
oracle-power,tr11_2025_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,27.055377124337223,2.7407985242924777,24.115477183370707,20.911533224676653,25.50961779210239,1.0,1.2495862784940377,0.1429488414503888,1.1313215113526955,1.0364338834219493,1.2182983483805685,1.0,27.832018693514513,2.7407985242924777,25.237478794603405,21.007969313387953,28.36434658905539,1.0
oracle-power,tr11_2025_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,8.690720730423937,8.016598607941193,1.096790626568458,0.17475143970907148,1.4742969388197391,1.0,0.3523233680506765,0.3024308030228548,0.03792691049496533,0.008388422955969477,0.05192279693364693,1.0,18.869761209172133,8.016598607941193,10.85316260123094,6.987921909454663,16.92624071591048,1.0
oracle-power,tr11_2025_pod_v2,tr11_2025_pod_v2,same_setup,5,5,5,5,20,5.703334866075996,5.47514853859346,0.19360783931792458,0.10649877746058589,0.6069286326906713,1.0,0.1743207179743056,0.1731235177224683,0.006084039743558298,0.0030551495948892005,0.01855635633791669,1.0,7.118290715189611,5.47514853859346,1.148352208765453,0.46441332370947075,4.543514310358057,1.0
oracle-power,tr11_2025_pod_v2,slayer_pod_v2,cross_setup,5,5,5,5,25,6.328278446143567,3.884357527502604,2.8808214864999298,1.4553828191604818,6.179719637668583,1.0,0.3684040902136229,0.2280917222300858,0.16023249869645279,0.09747030701674739,0.25608873041723906,1.0,32.97587920459642,3.884357527502604,29.034294652626567,23.606378710614166,32.364679176905156,1.0
oracle-power,slayer_pod_v2,stumpjumper_pod_v2,cross_setup,5,5,5,5,25,13.566867950835755,2.7407985242924777,10.63979998352776,9.018592511057415,38.08149036968272,1.0,0.618407325212577,0.1429488414503888,0.5001425580712349,0.4522658234853703,1.8780590263005568,1.0,24.120751923891408,2.7407985242924777,20.75346132147546,16.45215635178356,50.778903228165156,1.0
oracle-power,slayer_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,14.414509238618374,8.016598607941193,7.321083537430415,2.1530652815130473,7.650753979659065,1.0,0.5813554529832806,0.3024308030228548,0.25316233866715654,0.10817187690229518,0.2789246499604258,1.0,42.65276461463064,8.016598607941193,34.73175115693187,31.296288634922192,36.281151453958124,1.0
oracle-power,slayer_pod_v2,tr11_2025_pod_v2,cross_setup,5,5,5,5,25,10.138458527888016,5.47514853859346,4.532615384675382,3.125637490010166,6.053038974291711,1.0,0.3205768012062436,0.1731235177224683,0.1474532834837753,0.09556386026912181,0.1705677243878442,1.0,32.45092079847154,5.47514853859346,26.975772259878084,21.52793267352685,28.341373189785138,1.0
oracle-power,slayer_pod_v2,slayer_pod_v2,same_setup,5,5,5,5,20,4.793757469266819,3.884357527502604,0.6050648401366285,0.2049179246631656,6.5980688455103875,1.0,0.24797837092782385,0.2280917222300858,0.03208554350537135,0.012719568440897083,0.3779617643509319,1.0,5.647996702995859,3.884357527502604,1.643245865950917,0.6993838353403286,7.426673779585539,1.0
oracle-binned-median,stumpjumper_pod_v2,stumpjumper_pod_v2,same_setup,5,5,5,5,20,3.059969894370097,2.7093362400261785,0.18741869999208505,0.06365527345632316,0.3281826411061237,1.0,0.1468632645405593,0.1343038787166396,0.008502217619548051,0.0027601410136559035,0.019628535923501,1.0,3.526395247520812,2.711623701420622,0.6232947420691062,0.20357565225652596,3.284285362950837,1.0
oracle-binned-median,stumpjumper_pod_v2,tr11_pod_v2,cross_setup,5,5,5,5,25,20.108316396946616,7.748195869420544,12.360120527526071,6.405022620247776,13.921465581426926,1.0,0.7554162432742683,0.2923051550124975,0.466292670921064,0.3217939206873323,0.4902526076360895,1.0,22.159164617887484,7.834204853415184,14.3249597644723,8.749964834580778,17.31275299065627,1.0
