duration_s,evaluation_scope,aligned_mse_improvement_vs_mag_median,aligned_nrmse_std_median,aligned_rmse_median,anchored_rmse_median,bin0_fixed_mean_error_median,bin0_fixed_rmse_median,bin0_fixed_rmse_mse_improvement_vs_mag_median,fixed_aligned_rmse_median,n_logs,n_trials,stage
20.0,full_log_excluding_training,3.5033972413472085,0.17307958599689358,3.572581407845915,8.02174151222643,1.4730768585015728,6.35344285426729,17.527210038085848,3.5750281526017833,11,44,nuisance_delta_lifted
20.0,training_window,3.2046658490288413,0.15550970921174928,3.5010793493921577,8.112737102929323,1.109018126269961,4.583207424068842,23.778942834511856,3.508505076709937,11,44,nuisance_delta_lifted
20.0,common_core,1.3672881045641545,0.16402190279476747,2.9897502441219643,8.495559577465414,-0.4800964702686247,4.297353717533082,10.739295895480822,3.246742986944539,11,44,nuisance_corrected_mag
20.0,full_log,3.875486253021144,0.16964752694469543,3.6788661027898124,8.321281692141493,0.6653524006733753,5.962550324608772,15.317494277454465,3.6788661027898124,11,44,nuisance_corrected_mag
20.0,full_log_excluding_training,4.073024596010472,0.16858435479243966,3.6398969370016796,8.322070499871128,0.7103558761158333,5.840762528128325,15.601630589762618,3.642514984688058,11,44,nuisance_corrected_mag
20.0,training_window,3.0239162824974137,0.15778880238576193,3.5949850967610097,8.280839129371872,0.29386799639752237,6.002744567980354,18.24523787824074,3.6738410681873983,11,44,nuisance_corrected_mag
20.0,common_core,0.7396003506324695,0.15168815692844018,2.882881559454887,7.769860865835966,2.7966253129025906,4.8536402655317294,10.194837687580664,3.1367274518377544,11,44,solved
20.0,full_log,3.3402117772905147,0.17764814836958745,3.68237687867215,7.762518350292762,2.190483206527008,7.093554225817462,16.136638298782287,3.68237687867215,11,44,solved
20.0,full_log_excluding_training,3.352567112716601,0.17797234562613146,3.67756208018898,7.7644738797738615,2.1725234686890857,7.123207371214114,15.816301666267737,3.6776970057803693,11,44,solved
20.0,training_window,1.2666383052223154,0.15359772029977,3.5189178937263335,7.718663425082154,2.4754372850832786,4.903696363497353,15.08846359765168,3.5207752152389444,11,44,solved
40.0,common_core,nan,0.18745549947339876,3.7683192297810817,8.896831392534622,-3.9543437148927936,8.106683005684662,nan,4.039191819966119,11,44,mag_model
40.0,full_log,nan,0.1996555729122807,4.389090216529825,8.672446569310015,-3.8253356446124682,8.046361851743628,nan,4.389090216529825,11,44,mag_model
40.0,full_log_excluding_training,nan,0.19704934782285882,4.446283303738451,8.58851123103224,-3.7514278346335184,7.93382235699492,nan,4.44872369154154,11,44,mag_model
40.0,training_window,nan,0.17990814653134615,3.6818327202438885,8.200055286491668,-2.5884170344667083,7.604235862221415,nan,4.084888076206683,11,44,mag_model
40.0,common_core,3.6326759887557833,0.15772441488997002,3.003532349460114,7.763282030923338,2.2940008661122984,5.480676214354698,26.312209682881424,3.3825168721621863,11,44,fusion1
40.0,full_log,4.9288952195255105,0.1714610293718748,3.667081961395801,7.524322889809925,0.5355234306490291,6.6318089740670745,20.76270950995198,3.667081961395801,11,44,fusion1
