aligned_nrmse_std_log_median,aligned_rmse_log_median,anchored_rmse_log_median,duration_s,evaluation_scope,failure_rate,fixed_aligned_rmse_log_median,n_logs,prediction_to_travel_std_log_median,run,trainer,training_observations_log_median,travel_range_log_median,travel_std_log_median
0.16414762761235338,3.6964143243479812,4.071745809008481,4.0,full_log_excluding_training,0.0,3.6964593143434943,11.0,0.9802248586806711,random-window-front-v1-shorter,oracle-power,390.0,149.90437255734173,22.49209994916999
0.09560174560008233,1.5908097884673755,1.5908097884673755,4.0,training_window,0.0,2.414768230901907,11.0,0.9954139039724388,random-window-front-v1-shorter,oracle-power,390.0,88.43425067769581,17.602470477167017
0.1675462624015323,3.7597668649609695,4.070142439531641,5.0,full_log,0.0,3.7597668649609695,11.0,0.9837480538806549,random-window-front-v1-shorter,oracle-power,488.0,149.90437255734173,22.524702380028554
0.1681136237933719,3.7782925618604084,4.094765091114346,5.0,full_log_excluding_training,0.0,3.778379037787884,11.0,0.9836550064817109,random-window-front-v1-shorter,oracle-power,488.0,149.90437255734173,22.48838338083261
0.09732935519892266,1.6578589893573525,1.6578589893576612,5.0,training_window,0.0,2.3606835519520644,11.0,0.9952521772508749,random-window-front-v1-shorter,oracle-power,488.0,96.00361137306587,17.80536702861164
0.3283792319446738,7.6687002554604335,9.47984459206995,1.0,full_log,0.18181818181818182,7.6687002554604335,11.0,0.8933833275858081,random-window-front-v1-shorter,self-supervised,3.0,149.90437255734173,22.524702380028554
0.3284007288248579,7.689210229850158,9.477417545613637,1.0,full_log_excluding_training,0.18181818181818182,7.6892800033817,11.0,0.8934325752974476,random-window-front-v1-shorter,self-supervised,3.0,149.90437255734173,22.512877785312426
0.24284084712306073,4.1748542855864486,9.170280302086919,1.0,training_window,0.18181818181818182,5.162225727689935,11.0,0.9565918555598919,random-window-front-v1-shorter,self-supervised,3.0,67.30321225744449,16.978685999480565
0.293135582010628,6.0302884272381,9.547698999382245,2.0,full_log,0.08181818181818182,6.0302884272381,11.0,0.941327422511429,random-window-front-v1-shorter,self-supervised,7.0,149.90437255734173,22.524702380028554
0.2933390904739702,6.037399900074187,9.548377162746931,2.0,full_log_excluding_training,0.08181818181818182,6.03739990117475,11.0,0.9423296293330417,random-window-front-v1-shorter,self-supervised,7.0,149.90437255734173,22.494390733491507
0.21184685949884927,3.457067680466792,9.516085376471349,2.0,training_window,0.08181818181818182,4.71175315673648,11.0,0.9747082016785522,random-window-front-v1-shorter,self-supervised,7.0,74.94458373812833,17.251584098357746
0.2342325977147669,5.565270449000338,9.266616470773101,3.0,full_log,0.07272727272727272,5.565270449000338,11.0,0.9195875573571686,random-window-front-v1-shorter,self-supervised,10.0,149.90437255734173,22.524702380028554
0.23437670613465156,5.581571937964039,9.25175215024927,3.0,full_log_excluding_training,0.07272727272727272,5.581629334283626,11.0,0.9195814596394047,random-window-front-v1-shorter,self-supervised,10.0,149.90437255734173,22.519638692607437
0.2044128251656028,3.8976257068727516,8.951158588457474,3.0,training_window,0.07272727272727272,4.166154110529254,11.0,0.9250334326851654,random-window-front-v1-shorter,self-supervised,10.0,83.26058708774372,17.637939237046968
0.2196616927869086,5.035405372049553,9.129948955648542,4.0,full_log,0.045454545454545456,5.035405372049553,11.0,0.9354274523544748,random-window-front-v1-shorter,self-supervised,11.5,149.90437255734173,22.524702380028554
0.21990964013435205,5.028914365333314,9.159304226207555,4.0,full_log_excluding_training,0.045454545454545456,5.028977251312658,11.0,0.9360041747965956,random-window-front-v1-shorter,self-supervised,11.5,149.90437255734173,22.49209994916999
0.19893224324759068,3.6445816181764754,8.600599074352573,4.0,training_window,0.045454545454545456,4.104168369778265,11.0,0.9386714799501001,random-window-front-v1-shorter,self-supervised,11.5,88.88093135557074,18.692195816731342
0.21762232624211622,4.970604255646103,8.334281137141609,5.0,full_log,0.03636363636363636,4.970604255646103,11.0,0.9321096413866645,random-window-front-v1-shorter,self-supervised,15.5,149.90437255734173,22.524702380028554
0.21755365009749278,4.986155347701725,8.366258254319568,5.0,full_log_excluding_training,0.03636363636363636,4.986182689026596,11.0,0.9317512454820731,random-window-front-v1-shorter,self-supervised,15.5,149.90437255734173,22.48838338083261
0.19493336089867996,3.607457280641988,8.765502835269718,5.0,training_window,0.03636363636363636,3.963079090203521,11.0,0.9172096904533759,random-window-front-v1-shorter,self-supervised,15.5,96.00361137306587,18.80578967895989
0.15560346122078456,3.54218626989294,3.8366724220818442,10.0,full_log,0.0,3.54218626989294,11.0,0.9518479190079155,random-window-front-v1,oracle-isotonic,976.0,149.90437255734173,22.524702380028554
