duration_s,metric,n_logs,rmse_mm,run,trainer,travel_bin
40.0,local_aligned_rmse,11,2.0945993268760414,random-window-front-v1,oracle-isotonic,30-60
40.0,fixed_aligned_rmse,11,2.129525286479128,random-window-front-v1,oracle-isotonic,30-60
40.0,anchored_rmse,11,2.0945993268760414,random-window-front-v1,oracle-isotonic,30-60
40.0,local_aligned_rmse,11,1.6838433876683214,random-window-front-v1,oracle-isotonic,60-90
40.0,fixed_aligned_rmse,11,1.81493465621095,random-window-front-v1,oracle-isotonic,60-90
40.0,anchored_rmse,11,1.6838433876683214,random-window-front-v1,oracle-isotonic,60-90
40.0,local_aligned_rmse,11,1.7654529952198037,random-window-front-v1,oracle-isotonic,90-120
40.0,fixed_aligned_rmse,11,1.8781303129748554,random-window-front-v1,oracle-isotonic,90-120
40.0,anchored_rmse,11,1.7654529952198037,random-window-front-v1,oracle-isotonic,90-120
40.0,local_aligned_rmse,9,1.1224752310691362,random-window-front-v1,oracle-isotonic,120-150
40.0,fixed_aligned_rmse,9,1.6283402592806469,random-window-front-v1,oracle-isotonic,120-150
40.0,anchored_rmse,9,1.1224752310691362,random-window-front-v1,oracle-isotonic,120-150
5.0,local_aligned_rmse,11,2.148946045496314,random-window-front-v1,oracle-isotonic,0-30
5.0,fixed_aligned_rmse,11,2.4337171267688285,random-window-front-v1,oracle-isotonic,0-30
5.0,anchored_rmse,11,2.1489460454963143,random-window-front-v1,oracle-isotonic,0-30
5.0,local_aligned_rmse,11,1.6101737265050984,random-window-front-v1,oracle-isotonic,30-60
5.0,fixed_aligned_rmse,11,1.921576412757293,random-window-front-v1,oracle-isotonic,30-60
5.0,anchored_rmse,11,1.6101737265050984,random-window-front-v1,oracle-isotonic,30-60
5.0,local_aligned_rmse,11,1.2594765252099895,random-window-front-v1,oracle-isotonic,60-90
5.0,fixed_aligned_rmse,11,1.734706447333703,random-window-front-v1,oracle-isotonic,60-90
5.0,anchored_rmse,11,1.2594765252099895,random-window-front-v1,oracle-isotonic,60-90
5.0,local_aligned_rmse,11,1.0245111539567742,random-window-front-v1,oracle-isotonic,90-120
5.0,fixed_aligned_rmse,11,1.5547694842463298,random-window-front-v1,oracle-isotonic,90-120
5.0,anchored_rmse,11,1.0245111539567742,random-window-front-v1,oracle-isotonic,90-120
5.0,local_aligned_rmse,0,nan,random-window-front-v1,oracle-isotonic,120-150
5.0,fixed_aligned_rmse,0,nan,random-window-front-v1,oracle-isotonic,120-150
5.0,anchored_rmse,0,nan,random-window-front-v1,oracle-isotonic,120-150
60.0,local_aligned_rmse,11,3.8609501634392047,random-window-front-v1,oracle-isotonic,0-30
60.0,fixed_aligned_rmse,11,3.8972020220082113,random-window-front-v1,oracle-isotonic,0-30
60.0,anchored_rmse,11,3.8609501634392047,random-window-front-v1,oracle-isotonic,0-30
60.0,local_aligned_rmse,11,2.2036803786542802,random-window-front-v1,oracle-isotonic,30-60
60.0,fixed_aligned_rmse,11,2.2374802078624434,random-window-front-v1,oracle-isotonic,30-60
60.0,anchored_rmse,11,2.2036803786542802,random-window-front-v1,oracle-isotonic,30-60
60.0,local_aligned_rmse,11,1.7723386730649848,random-window-front-v1,oracle-isotonic,60-90
60.0,fixed_aligned_rmse,11,1.8861858932407678,random-window-front-v1,oracle-isotonic,60-90
60.0,anchored_rmse,11,1.7723386730649848,random-window-front-v1,oracle-isotonic,60-90
60.0,local_aligned_rmse,11,1.8002317273657247,random-window-front-v1,oracle-isotonic,90-120
60.0,fixed_aligned_rmse,11,1.8684250912910954,random-window-front-v1,oracle-isotonic,90-120
60.0,anchored_rmse,11,1.8002317273657247,random-window-front-v1,oracle-isotonic,90-120
60.0,local_aligned_rmse,10,1.227009368136682,random-window-front-v1,oracle-isotonic,120-150
60.0,fixed_aligned_rmse,10,1.3841519257338506,random-window-front-v1,oracle-isotonic,120-150
60.0,anchored_rmse,10,1.2270093681366818,random-window-front-v1,oracle-isotonic,120-150
10.0,local_aligned_rmse,11,3.2618731037555655,random-window-front-v1,oracle-power,0-30
10.0,fixed_aligned_rmse,11,3.443854612502273,random-window-front-v1,oracle-power,0-30
10.0,anchored_rmse,11,3.2618731103202134,random-window-front-v1,oracle-power,0-30
10.0,local_aligned_rmse,11,1.9140784152693213,random-window-front-v1,oracle-power,30-60
10.0,fixed_aligned_rmse,11,2.2196508923987928,random-window-front-v1,oracle-power,30-60
10.0,anchored_rmse,11,1.9140784155448571,random-window-front-v1,oracle-power,30-60
10.0,local_aligned_rmse,11,1.7451406090978394,random-window-front-v1,oracle-power,60-90
10.0,fixed_aligned_rmse,11,2.011694474330475,random-window-front-v1,oracle-power,60-90
10.0,anchored_rmse,11,1.7451406141862391,random-window-front-v1,oracle-power,60-90
10.0,local_aligned_rmse,11,2.2464398948961413,random-window-front-v1,oracle-power,90-120
10.0,fixed_aligned_rmse,11,2.4902937727319627,random-window-front-v1,oracle-power,90-120
10.0,anchored_rmse,11,2.246439894949625,random-window-front-v1,oracle-power,90-120
10.0,local_aligned_rmse,1,2.0007445872441334,random-window-front-v1,oracle-power,120-150
10.0,fixed_aligned_rmse,1,2.399489956056086,random-window-front-v1,oracle-power,120-150
10.0,anchored_rmse,1,2.0007445867687985,random-window-front-v1,oracle-power,120-150
120.0,local_aligned_rmse,11,4.65954014363483,random-window-front-v1,oracle-power,0-30
120.0,fixed_aligned_rmse,11,4.662905981953308,random-window-front-v1,oracle-power,0-30
120.0,anchored_rmse,11,4.659540143630016,random-window-front-v1,oracle-power,0-30
120.0,local_aligned_rmse,11,2.2912216133023633,random-window-front-v1,oracle-power,30-60
120.0,fixed_aligned_rmse,11,2.310673187353962,random-window-front-v1,oracle-power,30-60
120.0,anchored_rmse,11,2.291221613297077,random-window-front-v1,oracle-power,30-60
120.0,local_aligned_rmse,11,1.8513713890098564,random-window-front-v1,oracle-power,60-90
120.0,fixed_aligned_rmse,11,1.929616439441098,random-window-front-v1,oracle-power,60-90
120.0,anchored_rmse,11,1.851371406512738,random-window-front-v1,oracle-power,60-90
120.0,local_aligned_rmse,11,2.3149668393460923,random-window-front-v1,oracle-power,90-120
120.0,fixed_aligned_rmse,11,2.3201766746000847,random-window-front-v1,oracle-power,90-120
120.0,anchored_rmse,11,2.3149668393297596,random-window-front-v1,oracle-power,90-120
120.0,local_aligned_rmse,10,4.277030358564498,random-window-front-v1,oracle-power,120-150
120.0,fixed_aligned_rmse,10,4.375107629759369,random-window-front-v1,oracle-power,120-150
120.0,anchored_rmse,10,4.277030359649202,random-window-front-v1,oracle-power,120-150
20.0,local_aligned_rmse,11,3.992062084600481,random-window-front-v1,oracle-power,0-30
20.0,fixed_aligned_rmse,11,4.046319220197224,random-window-front-v1,oracle-power,0-30
20.0,anchored_rmse,11,3.992062084557558,random-window-front-v1,oracle-power,0-30
20.0,local_aligned_rmse,11,2.1629800476539724,random-window-front-v1,oracle-power,30-60
20.0,fixed_aligned_rmse,11,2.270612673600099,random-window-front-v1,oracle-power,30-60
20.0,anchored_rmse,11,2.1629800476591443,random-window-front-v1,oracle-power,30-60
20.0,local_aligned_rmse,11,1.883345147625871,random-window-front-v1,oracle-power,60-90
20.0,fixed_aligned_rmse,11,1.9378813957951078,random-window-front-v1,oracle-power,60-90
20.0,anchored_rmse,11,1.8833451475847869,random-window-front-v1,oracle-power,60-90
20.0,local_aligned_rmse,11,2.3828347736658015,random-window-front-v1,oracle-power,90-120
20.0,fixed_aligned_rmse,11,2.3436266294137726,random-window-front-v1,oracle-power,90-120
20.0,anchored_rmse,11,2.382834547052779,random-window-front-v1,oracle-power,90-120
20.0,local_aligned_rmse,3,4.098146317389932,random-window-front-v1,oracle-power,120-150
20.0,fixed_aligned_rmse,3,2.911181786178252,random-window-front-v1,oracle-power,120-150
20.0,anchored_rmse,3,4.0981463114165475,random-window-front-v1,oracle-power,120-150
40.0,local_aligned_rmse,11,4.2979610084442355,random-window-front-v1,oracle-power,0-30
40.0,fixed_aligned_rmse,11,4.3666565569221305,random-window-front-v1,oracle-power,0-30
40.0,anchored_rmse,11,4.297961008612172,random-window-front-v1,oracle-power,0-30
40.0,local_aligned_rmse,11,2.217386372868342,random-window-front-v1,oracle-power,30-60
40.0,fixed_aligned_rmse,11,2.3488943501986137,random-window-front-v1,oracle-power,30-60
40.0,anchored_rmse,11,2.2173863728302234,random-window-front-v1,oracle-power,30-60
40.0,local_aligned_rmse,11,1.9229399872093518,random-window-front-v1,oracle-power,60-90
40.0,fixed_aligned_rmse,11,2.0129790064784485,random-window-front-v1,oracle-power,60-90
40.0,anchored_rmse,11,1.9229399871973483,random-window-front-v1,oracle-power,60-90
40.0,local_aligned_rmse,11,2.3266959041301156,random-window-front-v1,oracle-power,90-120
